Month;NumFixed;Media;UpperLimit;LowerLimit
Jan;29;41,91666667;99,21671426;-15,38338093
Feb;32;41,91666667;99,21671426;-15,38338093
Mar;68;41,91666667;99,21671426;-15,38338093
Apr;82;41,91666667;99,21671426;-15,38338093
May;22;41,91666667;99,21671426;-15,38338093
Jun;55;41,91666667;99,21671426;-15,38338093
Jul;31;41,91666667;99,21671426;-15,38338093
Aug;46;41,91666667;99,21671426;-15,38338093
Sep;41;41,91666667;99,21671426;-15,38338093
Oct;50;41,91666667;99,21671426;-15,38338093
Nov;26;41,91666667;99,21671426;-15,38338093
Dec;21;41,91666667;99,21671426;-15,38338093
;;;;
;;;;
;;;;
;;;;
Media=;41,91666667;;;
STDV=;19,10001587;;;
UpperLimit= ;99,21671426;;;
LowerLimit=;-15,38338093;;;
