Month, NumFixed
Month, NumFixed
Jan,,29
Month, NumFixed
Jan,,29
Feb,,32
Month, NumFixed
Jan,,29
Feb,,32
Mar,,68
Month, NumFixed
Jan,,29
Feb,,32
Mar,,68
Apr,,82
Month, NumFixed
Jan,,29
Feb,,32
Mar,,68
Apr,,82
May,,22
Month, NumFixed
Jan,,29
Feb,,32
Mar,,68
Apr,,82
May,,22
Jun,,55
Month, NumFixed
Jan,,29
Feb,,32
Mar,,68
Apr,,82
May,,22
Jun,,55
Jul,,31
Month, NumFixed
Jan,,29
Feb,,32
Mar,,68
Apr,,82
May,,22
Jun,,55
Jul,,31
Aug,,46
Month, NumFixed
Jan,,29
Feb,,32
Mar,,68
Apr,,82
May,,22
Jun,,55
Jul,,31
Aug,,46
Sep,,41
Month, NumFixed
Jan,,29
Feb,,32
Mar,,68
Apr,,82
May,,22
Jun,,55
Jul,,31
Aug,,46
Sep,,41
Oct,,50
Month, NumFixed
Jan,,29
Feb,,32
Mar,,68
Apr,,82
May,,22
Jun,,55
Jul,,31
Aug,,46
Sep,,41
Oct,,50
Nov,,26
Month, NumFixed
Jan,,29
Feb,,32
Mar,,68
Apr,,82
May,,22
Jun,,55
Jul,,31
Aug,,46
Sep,,41
Oct,,50
Nov,,26
Dec,,21
